gmaps, latitude, longitude, name
t, 39.6812672089 , -104.962371609 , Hilltop Stadium
t, 39.6814853911 , -104.962371609 , Hilltop Stadium
t, 39.6814853911 , -104.962589791 , Hilltop Stadium
t, 39.6812672089 , -104.962589791 , Hilltop Stadium
t, 39.6765450089 , -104.962093909 , University of Denver
t, 39.6767631911 , -104.962093909 , University of Denver
t, 39.6767631911 , -104.962312091 , University of Denver
t, 39.6765450089 , -104.962312091 , University of Denver
t, 39.6776687089 , -104.959890909 , Daniels College of Business
t, 39.6778868911 , -104.959890909 , Daniels College of Business
t, 39.6778868911 , -104.960109091 , Daniels College of Business
t, 39.6776687089 , -104.960109091 , Daniels College of Business
t, 39.6787798089 , -104.959890909 , Ricks Center
t, 39.6789979911 , -104.959890909 , Ricks Center
t, 39.6789979911 , -104.960109091 , Ricks Center
t, 39.6787798089 , -104.960109091 , Ricks Center
t, 39.6821131089 , -104.962946509 , Williams Tower And Carillon
t, 39.6823312911 , -104.962946509 , Williams Tower And Carillon
t, 39.6823312911 , -104.963164691 , Williams Tower And Carillon
t, 39.6821131089 , -104.963164691 , Williams Tower And Carillon
t, 39.6815576089 , -104.962668709 , El Pomar Natatorium
t, 39.6817757911 , -104.962668709 , El Pomar Natatorium
t, 39.6817757911 , -104.962886891 , El Pomar Natatorium
t, 39.6815576089 , -104.962886891 , El Pomar Natatorium
t, 39.6771131089 , -104.960446509 , University Hall
t, 39.6773312911 , -104.960446509 , University Hall
t, 39.6773312911 , -104.960664691 , University Hall
t, 39.6771131089 , -104.960664691 , University Hall
t, 39.6796131089 , -104.963502009 , Sturm Hall
t, 39.6798312911 , -104.963502009 , Sturm Hall
t, 39.6798312911 , -104.963720191 , Sturm Hall
t, 39.6796131089 , -104.963720191 , Sturm Hall
t, 39.6782242089 , -104.964335309 , Columbine Hall
t, 39.6784423911 , -104.964335309 , Columbine Hall
t, 39.6784423911 , -104.964553491 , Columbine Hall
t, 39.6782242089 , -104.964553491 , Columbine Hall
t, 39.6740576089 , -104.962113109 , F W Olin Hall
t, 39.6742757911 , -104.962113109 , F W Olin Hall
t, 39.6742757911 , -104.962331291 , F W Olin Hall
t, 39.6740576089 , -104.962331291 , F W Olin Hall
t, 39.6751687089 , -104.964057609 , Johnson-McFarlane Hall
t, 39.6753868911 , -104.964057609 , Johnson-McFarlane Hall
t, 39.6753868911 , -104.964275791 , Johnson-McFarlane Hall
t, 39.6751687089 , -104.964275791 , Johnson-McFarlane Hall
t, 39.6767062089 , -104.963665409 , Skyline Hall
t, 39.6769243911 , -104.963665409 , Skyline Hall
t, 39.6769243911 , -104.963883591 , Skyline Hall
t, 39.6767062089 , -104.963883591 , Skyline Hall
t, 39.6779465089 , -104.960446509 , Margery Reed Hall
t, 39.6781646911 , -104.960446509 , Margery Reed Hall
t, 39.6781646911 , -104.960664691 , Margery Reed Hall
t, 39.6779465089 , -104.960664691 , Margery Reed Hall
t, 39.6799168089 , -104.961885009 , Leo Black Alumni Center
t, 39.6801349911 , -104.961885009 , Leo Black Alumni Center
t, 39.6801349911 , -104.962103191 , Leo Black Alumni Center
t, 39.6799168089 , -104.962103191 , Leo Black Alumni Center
t, 39.6807242089 , -104.964057609 , Stapleton Tennis Pavilion
t, 39.6809423911 , -104.964057609 , Stapleton Tennis Pavilion
t, 39.6809423911 , -104.964275791 , Stapleton Tennis Pavilion
t, 39.6807242089 , -104.964275791 , Stapleton Tennis Pavilion
t, 39.6821131089 , -104.961557609 , Magness Arena
t, 39.6823312911 , -104.961557609 , Magness Arena
t, 39.6823312911 , -104.961775791 , Magness Arena
t, 39.6821131089 , -104.961775791 , Magness Arena
t, 39.6823909089 , -104.961002009 , Joy Burns Arena
t, 39.6826090911 , -104.961002009 , Joy Burns Arena
t, 39.6826090911 , -104.961220191 , Joy Burns Arena
t, 39.6823909089 , -104.961220191 , Joy Burns Arena
t, 39.6823909089 , -104.962668709 , Hamilton Gymnasium
t, 39.6826090911 , -104.962668709 , Hamilton Gymnasium
t, 39.6826090911 , -104.962886891 , Hamilton Gymnasium
t, 39.6823909089 , -104.962886891 , Hamilton Gymnasium
t, 39.6812798089 , -104.962113109 , Coors Fitness Center
t, 39.6814979911 , -104.962113109 , Coors Fitness Center
t, 39.6814979911 , -104.962331291 , Coors Fitness Center
t, 39.6812798089 , -104.962331291 , Coors Fitness Center
t, 39.6758607089 , -104.963734109 , Hilltop Hall
t, 39.6760788911 , -104.963734109 , Hilltop Hall
t, 39.6760788911 , -104.963952291 , Hilltop Hall
t, 39.6758607089 , -104.963952291 , Hilltop Hall
t, 39.6758541089 , -104.963133309 , Aspen Hall
t, 39.6760722911 , -104.963133309 , Aspen Hall
t, 39.6760722911 , -104.963351491 , Aspen Hall
t, 39.6758541089 , -104.963351491 , Aspen Hall
t, 39.6767062089 , -104.964824109 , Mary Mac Building
t, 39.6769243911 , -104.964824109 , Mary Mac Building
t, 39.6769243911 , -104.965042291 , Mary Mac Building
t, 39.6767062089 , -104.965042291 , Mary Mac Building
t, 39.6770299089 , -104.964257709 , Frontier Hall
t, 39.6772480911 , -104.964257709 , Frontier Hall
t, 39.6772480911 , -104.964475891 , Frontier Hall
t, 39.6770299089 , -104.964475891 , Frontier Hall
t, 39.6772149089 , -104.963605309 , Pioneer Hall
t, 39.6774330911 , -104.963605309 , Pioneer Hall
t, 39.6774330911 , -104.963823491 , Pioneer Hall
t, 39.6772149089 , -104.963823491 , Pioneer Hall
t, 39.6785213089 , -104.959484909 , Pete's Cafe
t, 39.6787394911 , -104.959484909 , Pete's Cafe
t, 39.6787394911 , -104.959703091 , Pete's Cafe
t, 39.6785213089 , -104.959703091 , Pete's Cafe
t, 39.6784757089 , -104.959675609 , Ben and Jerry's Ice Cream
t, 39.6786938911 , -104.959675609 , Ben and Jerry's Ice Cream
t, 39.6786938911 , -104.959893791 , Ben and Jerry's Ice Cream
t, 39.6784757089 , -104.959893791 , Ben and Jerry's Ice Cream
t, 39.6788192089 , -104.959515809 , Mustard's Last Stand
t, 39.6790373911 , -104.959515809 , Mustard's Last Stand
t, 39.6790373911 , -104.959733991 , Mustard's Last Stand
t, 39.6788192089 , -104.959733991 , Mustard's Last Stand
t, 39.6789494089 , -104.959693909 , Jimmy John's
t, 39.6791675911 , -104.959693909 , Jimmy John's
t, 39.6791675911 , -104.959912091 , Jimmy John's
t, 39.6789494089 , -104.959912091 , Jimmy John's
t, 39.6790888089 , -104.959693909 , Darque Tan
t, 39.6793069911 , -104.959693909 , Darque Tan
t, 39.6793069911 , -104.959912091 , Darque Tan
t, 39.6790888089 , -104.959912091 , Darque Tan
t, 39.6790207089 , -104.959688609 , Pak Mail
t, 39.6792388911 , -104.959688609 , Pak Mail
t, 39.6792388911 , -104.959906791 , Pak Mail
t, 39.6790207089 , -104.959906791 , Pak Mail
t, 39.6762586089 , -104.961360909 , Mary Reed Building
t, 39.6764767911 , -104.961360909 , Mary Reed Building
t, 39.6764767911 , -104.961579091 , Mary Reed Building
t, 39.6762586089 , -104.961579091 , Mary Reed Building
t, 39.6760020089 , -104.962113109 , Ben M Cherrington Hall
t, 39.6762201911 , -104.962113109 , Ben M Cherrington Hall
t, 39.6762201911 , -104.962331291 , Ben M Cherrington Hall
t, 39.6760020089 , -104.962331291 , Ben M Cherrington Hall
t, 39.6774562089 , -104.964927409 , University of Denver Graduate School of Social Work
t, 39.6776743911 , -104.964927409 , University of Denver Graduate School of Social Work
t, 39.6776743911 , -104.965145591 , University of Denver Graduate School of Social Work
t, 39.6774562089 , -104.965145591 , University of Denver Graduate School of Social Work
t, 39.6776687089 , -104.964890909 , Craig Hall
t, 39.6778868911 , -104.964890909 , Craig Hall
t, 39.6778868911 , -104.965109091 , Craig Hall
t, 39.6776687089 , -104.965109091 , Craig Hall
